Time_Step,Series_0,Series_1,Series_2,Series_3,Series_4,Series_5,Series_6,Series_7,Series_8,Series_9,Series_10,Series_11
0,0.368421052631579,-0.368421052631579,-0.7894736842105263,-0.7894736842105263,-0.6842105263157895,0.1578947368421053,0.26315789473684204,0.4736842105263157,1.0,-1.0,-0.4736842105263158,0.05263157894736836
1,0.4736842105263157,-0.1578947368421053,-0.8947368421052632,-0.6842105263157895,-0.1578947368421053,0.1578947368421053,-0.26315789473684215,-0.26315789473684215,0.26315789473684204,-1.0,0.7894736842105263,0.05263157894736836
2,0.368421052631579,-0.052631578947368474,-1.0,-0.6842105263157895,-0.052631578947368474,0.5789473684210527,-0.1578947368421053,0.26315789473684204,1.0,-1.0,-0.4736842105263158,-0.4736842105263158
3,0.4736842105263157,-0.052631578947368474,-0.8947368421052632,-0.7894736842105263,-0.1578947368421053,0.894736842105263,-0.052631578947368474,-0.26315789473684215,1.0,-1.0,0.7894736842105263,0.7894736842105263
4,0.4736842105263157,-0.052631578947368474,-0.7894736842105263,-0.6842105263157895,-0.052631578947368474,0.894736842105263,-0.052631578947368474,0.4736842105263157,1.0,-1.0,0.7894736842105263,-0.4736842105263158
5,0.4736842105263157,-0.1578947368421053,-0.6842105263157895,-0.7894736842105263,-0.052631578947368474,0.7894736842105263,-1.0,0.5789473684210527,1.0,-1.0,0.7894736842105263,0.7894736842105263
6,0.368421052631579,-0.052631578947368474,-0.5789473684210527,-0.8947368421052632,-0.1578947368421053,0.6842105263157894,1.0,0.5789473684210527,1.0,-1.0,-0.4736842105263158,0.7894736842105263
7,0.368421052631579,0.05263157894736836,-0.5789473684210527,-0.8947368421052632,-0.1578947368421053,0.7894736842105263,0.26315789473684204,0.368421052631579,0.26315789473684204,-1.0,-0.8947368421052632,0.7894736842105263
8,0.4736842105263157,0.894736842105263,-0.6842105263157895,-0.7894736842105263,-0.052631578947368474,0.6842105263157894,0.26315789473684204,-0.7894736842105263,0.26315789473684204,-0.8947368421052632,-1.0,-0.4736842105263158
9,0.4736842105263157,1.0,-0.7894736842105263,-0.5789473684210527,-1.0,0.6842105263157894,0.26315789473684204,-0.368421052631579,1.0,-0.4736842105263158,-0.8947368421052632,-0.8947368421052632
10,0.4736842105263157,0.1578947368421053,-0.8947368421052632,-0.5789473684210527,1.0,0.7894736842105263,-0.26315789473684215,-0.26315789473684215,0.26315789473684204,-0.4736842105263158,-1.0,-0.8947368421052632
11,0.5789473684210527,0.26315789473684204,-0.8947368421052632,1.0,-0.7894736842105263,0.894736842105263,-0.1578947368421053,-0.1578947368421053,-0.5789473684210527,-0.8947368421052632,-1.0,-0.7894736842105263
12,-1.0,0.6842105263157894,-0.8947368421052632,1.0,1.0,0.894736842105263,-0.8947368421052632,-0.052631578947368474,-0.5789473684210527,-0.8947368421052632,-0.8947368421052632,-1.0
13,0.5789473684210527,0.6842105263157894,-0.8947368421052632,-0.5789473684210527,1.0,0.7894736842105263,-0.8947368421052632,-0.1578947368421053,-0.5789473684210527,-1.0,-1.0,-1.0
14,0.5789473684210527,0.26315789473684204,-1.0,-0.7894736842105263,1.0,0.7894736842105263,-0.8947368421052632,-0.1578947368421053,0.26315789473684204,-0.8947368421052632,-0.8947368421052632,-0.8947368421052632
15,0.5789473684210527,0.26315789473684204,-1.0,-0.7894736842105263,-1.0,0.7894736842105263,-0.8947368421052632,-0.1578947368421053,0.26315789473684204,-1.0,-0.4736842105263158,-1.0
16,0.5789473684210527,0.26315789473684204,-0.8947368421052632,-0.5789473684210527,0.05263157894736836,0.894736842105263,-0.368421052631579,-0.1578947368421053,0.26315789473684204,-1.0,-0.4736842105263158,-1.0
17,0.05263157894736836,0.26315789473684204,-0.7894736842105263,-0.7894736842105263,0.05263157894736836,-0.4736842105263158,-0.368421052631579,-0.1578947368421053,1.0,-1.0,-0.4736842105263158,-1.0
